site_id,latitude,longitude,Cclim_i,n_years_used,mean_P_mm,mean_PET_mm,P_PET_ratio,walsh_lawler_PCI,extreme_days_per_year,adequacy_score,seasonal_score,extreme_score
GA_001,31.65,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_002,31.65,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_003,31.65,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_004,31.65,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_005,31.65,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_006,31.65,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_007,31.65,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_008,31.65,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_009,31.783333,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_010,31.783333,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_011,31.783333,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_012,31.783333,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_013,31.783333,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_014,31.783333,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_015,31.783333,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_016,31.783333,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_017,31.916667,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_018,31.916667,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_019,31.916667,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_020,31.916667,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_021,31.916667,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_022,31.916667,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_023,31.916667,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_024,31.916667,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_025,32.05,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_026,32.05,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_027,32.05,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_028,32.05,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_029,32.05,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_030,32.05,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_031,32.05,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_032,32.05,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_033,32.183333,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_034,32.183333,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_035,32.183333,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_036,32.183333,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_037,32.183333,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_038,32.183333,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_039,32.183333,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_040,32.183333,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_041,32.316667,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_042,32.316667,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_043,32.316667,-84.292857,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_044,32.316667,-84.164286,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_045,32.316667,-84.035714,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_046,32.316667,-83.907143,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_047,32.316667,-83.778571,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_048,32.316667,-83.65,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_049,32.45,-84.55,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
GA_050,32.45,-84.421429,0.661116422050477,24,1152.6,1456.4,0.791,9.07,13.25,0.7914,0.7068,0.4417
