site_id,latitude,longitude,nearest_well_dist_m,nearest_well_site_no,well_mean_depth_ft,Ni
GA_001,31.65,-84.55,,,,0.5
GA_002,31.65,-84.325,8259.2,313440084181402,10.932754880694143,0.3644
GA_003,31.65,-84.1,5888.7,313808084093601,30.98759764869673,1.0
GA_004,31.65,-83.875,14326.8,313146083491601,213.82638616622836,1.0
GA_005,31.65,-83.65,,,,0.5
GA_006,31.916667,-84.55,,,,0.5
GA_007,31.916667,-84.325,,,,0.5
GA_008,31.916667,-84.1,,,,0.5
GA_009,31.916667,-83.875,,,,0.5
GA_010,31.916667,-83.65,,,,0.5
GA_011,32.183333,-84.55,,,,0.5
GA_012,32.183333,-84.325,,,,0.5
GA_013,32.183333,-84.1,,,,0.5
GA_014,32.183333,-83.875,,,,0.5
GA_015,32.183333,-83.65,,,,0.5
GA_016,32.45,-84.55,,,,0.5
GA_017,32.45,-84.325,,,,0.5
GA_018,32.45,-84.1,,,,0.5
GA_019,32.45,-83.875,,,,0.5
GA_020,32.45,-83.65,,,,0.5
