site_id,latitude,longitude,mukey,ksat_norm_mu,hydgrp_score_mu,texcl_score_mu,clogging_factor_mu,Si_3component,Si,wtdepannmin,wtdepannmin_source,ei_ssurgo
GA_001,31.65,-84.55,334753,0.34625000000000006,0.1,0.6875,0.88828125,0.340625,0.30752343750000005,15.0,ssurgo,1
GA_002,31.65,-84.421429,325995,0.46,0.7,0.8,0.93,0.6000000000000001,0.5580000000000002,333.23784,nwis_imputed,0
GA_003,31.65,-84.292857,326020,0.56,0.7,1.0,0.9175000000000001,0.69,0.633075,107.0,ssurgo,1
GA_004,31.65,-84.164286,326022,1.0,1.0,1.0,0.9650000000000002,1.0,0.9650000000000002,944.51424,nwis_imputed,0
GA_005,31.65,-84.035714,326012,0.56,0.1,0.8,0.9025,0.4700000000000001,0.42417500000000014,15.0,ssurgo,1
GA_006,31.65,-83.907143,325130,1.0,1.0,0.9,0.9635,0.9800000000000001,0.9442300000000001,84.0,ssurgo,1
GA_007,31.65,-83.778571,325583,0.9200000000000002,0.4,0.9,0.9475,0.7600000000000001,0.7201000000000001,6517.41648,nwis_imputed,0
GA_008,31.65,-83.65,325576,1.0,0.1,0.9,0.9475,0.7100000000000001,0.6727250000000001,15.0,ssurgo,1
GA_009,31.783333,-84.55,326001,0.56,0.1,0.6,0.8075,0.43000000000000005,0.34722500000000006,0.0,ssurgo,1
GA_010,31.783333,-84.421429,325999,0.18,0.1,0.6,0.873125,0.24,0.20955,15.0,ssurgo,1
GA_011,31.783333,-84.292857,325996,0.46,0.7,0.8,0.93,0.6000000000000001,0.5580000000000002,,missing,0
GA_012,31.783333,-84.164286,325993,0.18,0.1,0.6,0.85,0.24,0.204,0.0,ssurgo,1
GA_013,31.783333,-84.035714,326000,1.0,0.4,0.9,0.9565,0.8,0.7652000000000002,61.0,ssurgo,1
GA_014,31.783333,-83.907143,325105,0.56,0.7,0.9,0.9710000000000001,0.67,0.6505700000000001,105.0,ssurgo,1
GA_015,31.783333,-83.778571,325614,0.18,0.1,0.8,0.9525,0.28,0.26670000000000005,,missing,0
GA_016,31.783333,-83.65,325576,1.0,0.1,0.9,0.9475,0.7100000000000001,0.6727250000000001,15.0,ssurgo,1
GA_017,31.916667,-84.55,325995,0.46,0.7,0.8,0.93,0.6000000000000001,0.5580000000000002,,missing,0
GA_018,31.916667,-84.421429,326009,0.9200000000000002,0.7,0.9,0.9475,0.85,0.8053750000000001,,missing,0
GA_019,31.916667,-84.292857,326279,0.56,0.7,1.0,0.9175000000000001,0.69,0.633075,107.0,ssurgo,1
GA_020,31.916667,-84.164286,326268,0.9200000000000002,0.7,0.9,0.9475,0.85,0.8053750000000001,,missing,0
GA_021,31.916667,-84.035714,326272,0.56,0.7,0.6,0.915,0.61,0.55815,122.0,ssurgo,1
GA_022,31.916667,-83.907143,325593,1.0,0.7,0.9,0.9635,0.89,0.857515,109.0,ssurgo,1
GA_023,31.916667,-83.778571,325576,1.0,0.1,0.9,0.9475,0.7100000000000001,0.6727250000000001,15.0,ssurgo,1
GA_024,31.916667,-83.65,325617,1.0,0.7,0.9,0.9600000000000001,0.89,0.8544000000000002,129.0,ssurgo,1
GA_025,32.05,-84.55,2455431,0.62,0.7,0.45,0.9125,0.61,0.556625,,missing,0
GA_026,32.05,-84.421429,326265,1.0,1.0,1.0,0.9815000000000002,1.0,0.9815000000000002,,missing,0
GA_027,32.05,-84.292857,326279,0.56,0.7,1.0,0.9175000000000001,0.69,0.633075,107.0,ssurgo,1
GA_028,32.05,-84.164286,326255,0.18,0.1,0.6,0.85,0.24,0.204,0.0,ssurgo,1
GA_029,32.05,-84.035714,326279,0.56,0.7,1.0,0.9175000000000001,0.69,0.633075,107.0,ssurgo,1
GA_030,32.05,-83.907143,325797,0.56,0.1,0.8,0.9025,0.4700000000000001,0.42417500000000014,15.0,ssurgo,1
GA_031,32.05,-83.778571,325805,1.0,0.7,0.9,0.9600000000000001,0.89,0.8544000000000002,129.0,ssurgo,1
GA_032,32.05,-83.65,325761,0.56,0.4,0.8,0.9325000000000001,0.56,0.5222,76.0,ssurgo,1
GA_033,32.183333,-84.55,126210,1.0,1.0,0.9,0.9575,0.9800000000000001,0.9383500000000001,,missing,0
GA_034,32.183333,-84.421429,126210,1.0,1.0,0.9,0.9575,0.9800000000000001,0.9383500000000001,,missing,0
GA_035,32.183333,-84.292857,326282,1.0,0.4,0.9,0.9625,0.8,0.77,,missing,0
GA_036,32.183333,-84.164286,326268,0.9200000000000002,0.7,0.9,0.9475,0.85,0.8053750000000001,,missing,0
GA_037,32.183333,-84.035714,325759,0.14021052631578948,0.19473684210526315,0.5684210526315789,0.8605263157894737,0.2422105263157895,0.2099463157894737,15.0,ssurgo,1
GA_038,32.183333,-83.907143,325758,0.34625000000000006,0.1,0.665625,0.88828125,0.33625,0.30342187500000006,15.0,ssurgo,1
GA_039,32.183333,-83.778571,325765,0.56,0.7,0.9,0.9710000000000001,0.67,0.6505700000000001,105.0,ssurgo,1
GA_040,32.183333,-83.65,325775,0.18,0.1,0.2,0.8875,0.16,0.142,0.0,ssurgo,1
GA_041,32.316667,-84.55,126220,1.0,0.4,0.94,0.9595,0.8080000000000002,0.77524,,missing,0
GA_042,32.316667,-84.421429,126209,1.0,1.0,0.9,0.9575,0.9800000000000001,0.9383500000000001,,missing,0
GA_043,32.316667,-84.292857,326260,0.34625000000000006,0.1,0.6875,0.88828125,0.340625,0.30752343750000005,15.0,ssurgo,1
GA_044,32.316667,-84.164286,325783,1.0,1.0,1.0,0.9815000000000002,1.0,0.9815000000000002,,missing,0
GA_045,32.316667,-84.035714,325759,0.14021052631578948,0.19473684210526315,0.5684210526315789,0.8605263157894737,0.2422105263157895,0.2099463157894737,15.0,ssurgo,1
GA_046,32.316667,-83.907143,325758,0.34625000000000006,0.1,0.665625,0.88828125,0.33625,0.30342187500000006,15.0,ssurgo,1
GA_047,32.316667,-83.778571,325898,0.18,0.1,0.75,0.8875,0.27,0.23962500000000003,0.0,ssurgo,1
GA_048,32.316667,-83.65,325888,1.0,0.7,0.75,0.925,0.86,0.7955,,missing,0
GA_049,32.45,-84.55,126190,1.0,1.0,1.0,0.9675,1.0,0.9675,,missing,0
GA_050,32.45,-84.421429,126210,1.0,1.0,0.9,0.9575,0.9800000000000001,0.9383500000000001,,missing,0
