site_id,latitude,longitude,nlcd_class,nlcd_class_name,mar_suitability_score,impervious_pct
GA_001,31.65,-84.55,11,Open Water,0.0,0
GA_002,31.65,-84.421429,82,Cultivated Crops,0.5,0
GA_003,31.65,-84.292857,42,Evergreen Forest,0.6,0
GA_004,31.65,-84.164286,82,Cultivated Crops,0.5,0
GA_005,31.65,-84.035714,90,Woody Wetlands,0.1,0
GA_006,31.65,-83.907143,82,Cultivated Crops,0.5,0
GA_007,31.65,-83.778571,71,Grassland/Herbaceous,0.9,0
GA_008,31.65,-83.65,90,Woody Wetlands,0.1,0
GA_009,31.783333,-84.55,90,Woody Wetlands,0.1,0
GA_010,31.783333,-84.421429,90,Woody Wetlands,0.1,0
GA_011,31.783333,-84.292857,90,Woody Wetlands,0.1,0
GA_012,31.783333,-84.164286,90,Woody Wetlands,0.1,0
GA_013,31.783333,-84.035714,82,Cultivated Crops,0.5,0
GA_014,31.783333,-83.907143,82,Cultivated Crops,0.5,0
GA_015,31.783333,-83.778571,42,Evergreen Forest,0.6,0
GA_016,31.783333,-83.65,42,Evergreen Forest,0.6,0
GA_017,31.916667,-84.55,42,Evergreen Forest,0.6,0
GA_018,31.916667,-84.421429,82,Cultivated Crops,0.5,0
GA_019,31.916667,-84.292857,82,Cultivated Crops,0.5,0
GA_020,31.916667,-84.164286,82,Cultivated Crops,0.5,0
GA_021,31.916667,-84.035714,82,Cultivated Crops,0.5,0
GA_022,31.916667,-83.907143,82,Cultivated Crops,0.5,0
GA_023,31.916667,-83.778571,90,Woody Wetlands,0.1,0
GA_024,31.916667,-83.65,82,Cultivated Crops,0.5,0
GA_025,32.05,-84.55,90,Woody Wetlands,0.1,0
GA_026,32.05,-84.421429,41,Deciduous Forest,0.6,0
GA_027,32.05,-84.292857,82,Cultivated Crops,0.5,0
GA_028,32.05,-84.164286,43,Mixed Forest,0.6,0
GA_029,32.05,-84.035714,82,Cultivated Crops,0.5,0
GA_030,32.05,-83.907143,21,"Developed, Open Space",0.2,1
GA_031,32.05,-83.778571,82,Cultivated Crops,0.5,0
GA_032,32.05,-83.65,82,Cultivated Crops,0.5,0
GA_033,32.183333,-84.55,42,Evergreen Forest,0.6,0
GA_034,32.183333,-84.421429,42,Evergreen Forest,0.6,0
GA_035,32.183333,-84.292857,82,Cultivated Crops,0.5,0
GA_036,32.183333,-84.164286,42,Evergreen Forest,0.6,0
GA_037,32.183333,-84.035714,90,Woody Wetlands,0.1,0
GA_038,32.183333,-83.907143,90,Woody Wetlands,0.1,0
GA_039,32.183333,-83.778571,82,Cultivated Crops,0.5,0
GA_040,32.183333,-83.65,82,Cultivated Crops,0.5,0
GA_041,32.316667,-84.55,43,Mixed Forest,0.6,0
GA_042,32.316667,-84.421429,42,Evergreen Forest,0.6,0
GA_043,32.316667,-84.292857,82,Cultivated Crops,0.5,0
GA_044,32.316667,-84.164286,90,Woody Wetlands,0.1,0
GA_045,32.316667,-84.035714,90,Woody Wetlands,0.1,0
GA_046,32.316667,-83.907143,82,Cultivated Crops,0.5,0
GA_047,32.316667,-83.778571,43,Mixed Forest,0.6,0
GA_048,32.316667,-83.65,90,Woody Wetlands,0.1,0
GA_049,32.45,-84.55,81,Pasture/Hay,0.7,0
GA_050,32.45,-84.421429,42,Evergreen Forest,0.6,0
