site_id,latitude,longitude
GA_001,31.65,-84.55
GA_002,31.65,-84.421429
GA_003,31.65,-84.292857
GA_004,31.65,-84.164286
GA_005,31.65,-84.035714
GA_006,31.65,-83.907143
GA_007,31.65,-83.778571
GA_008,31.65,-83.65
GA_009,31.783333,-84.55
GA_010,31.783333,-84.421429
GA_011,31.783333,-84.292857
GA_012,31.783333,-84.164286
GA_013,31.783333,-84.035714
GA_014,31.783333,-83.907143
GA_015,31.783333,-83.778571
GA_016,31.783333,-83.65
GA_017,31.916667,-84.55
GA_018,31.916667,-84.421429
GA_019,31.916667,-84.292857
GA_020,31.916667,-84.164286
GA_021,31.916667,-84.035714
GA_022,31.916667,-83.907143
GA_023,31.916667,-83.778571
GA_024,31.916667,-83.65
GA_025,32.05,-84.55
GA_026,32.05,-84.421429
GA_027,32.05,-84.292857
GA_028,32.05,-84.164286
GA_029,32.05,-84.035714
GA_030,32.05,-83.907143
GA_031,32.05,-83.778571
GA_032,32.05,-83.65
GA_033,32.183333,-84.55
GA_034,32.183333,-84.421429
GA_035,32.183333,-84.292857
GA_036,32.183333,-84.164286
GA_037,32.183333,-84.035714
GA_038,32.183333,-83.907143
GA_039,32.183333,-83.778571
GA_040,32.183333,-83.65
GA_041,32.316667,-84.55
GA_042,32.316667,-84.421429
GA_043,32.316667,-84.292857
GA_044,32.316667,-84.164286
GA_045,32.316667,-84.035714
GA_046,32.316667,-83.907143
GA_047,32.316667,-83.778571
GA_048,32.316667,-83.65
GA_049,32.45,-84.55
GA_050,32.45,-84.421429
