site_id,latitude,longitude,mukey
GA_001,31.65,-84.55,334753
GA_002,31.65,-84.325,326000
GA_003,31.65,-84.1,326003
GA_004,31.65,-83.875,325107
GA_005,31.65,-83.65,325576
GA_006,31.916667,-84.55,325995
GA_007,31.916667,-84.325,326274
GA_008,31.916667,-84.1,326255
GA_009,31.916667,-83.875,325587
GA_010,31.916667,-83.65,325617
GA_011,32.183333,-84.55,126210
GA_012,32.183333,-84.325,326261
GA_013,32.183333,-84.1,326264
GA_014,32.183333,-83.875,325770
GA_015,32.183333,-83.65,325775
GA_016,32.45,-84.55,126190
GA_017,32.45,-84.325,126536
GA_018,32.45,-84.1,325758
GA_019,32.45,-83.875,325796
GA_020,32.45,-83.65,325898
